dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,grade,grade_date
IRESTAURANT,Brooklyn,5922,8TH AVE,11220,7184393155,Chinese/Japanese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,17,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.63589582,-74.00914797,307,38,10400,3016427,3008660048,BK34,,
SUGAR SWEET SUNSHINE,Manhattan,126,RIVINGTON STREET,10002,2129951960,Bakery,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,36,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71967698,-73.98702372,103,1,3001,1004319,1003540034,MN27,,
TINY SHANGHAI,Manhattan,122,MULBERRY STREET,10013,9172617898,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71783047,-73.99811692,102,1,4100,1002634,1002050012,MN24,A,2020-01-02T00:00:00.000
TAQUERIA BAJA,Brooklyn,830,BROADWAY,11206,3474518943,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,5,2020-08-17T06:03:08.000,Pre-permit (Non-operational) / Initial Inspection,40.69922408,-73.93928236,303,36,28501,3042841,3015790029,BK78,,
TEXAS CHICKEN & BURGERS,Brooklyn,1850,NOSTRAND AVENUE,11226,9172921908,Chicken,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,9,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.64058367,-73.94848815,317,45,82800,3120520,3052160013,BK95,A,2020-01-02T00:00:00.000
MINT,Brooklyn,535,KINGS HIGHWAY,11223,7183390273,Jewish/Kosher,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,7,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.60449456,-73.96959079,315,44,42200,3177321,3066600048,BK25,A,2020-01-02T00:00:00.000
BASIL BRICK OVEN,Queens,2817,ASTORIA BLVD,11102,7182041205,Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",N,34,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.77064492,-73.92022681,401,22,6900,4017403,4008390009,QN71,,
MILK N' HONEY,Manhattan,160,BROADWAY,10038,2123624165,Jewish/Kosher,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70948593,-74.0102402,101,1,1502,1079040,1000640015,MN25,A,2020-01-02T00:00:00.000
FIRST CHOICE RESTAURANT,Manhattan,3893A,BROADWAY,10032,2129276898,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,21,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.83757509,-73.9423142,112,7,24500,1063363,1021370080,MN36,,
BUTTERCUP BAKESHOP,Manhattan,973,2 AVENUE,10022,6466109258,Bakery,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,7,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75584095,-73.96782858,106,4,9800,1038473,1013250028,MN19,,
PADDY REILLY'S BAR,Manhattan,519,2 AVENUE,10016,2126861210,"Bottled beverages, including water, sodas, juices, etc.",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74154868,-73.97824305,106,2,6600,1019902,1009090034,MN20,,
OUR NEIGHBOURHOOD SPANISH RESTAURANT,Brooklyn,444,MOTHER GASTON BOULEVARD,11212,7189279302,Spanish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,23,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.66819977,-73.90648961,316,41,90600,3252323,3035260325,BK81,B,2020-01-02T00:00:00.000
CABANA LATINA RESTAURANT,Manhattan,3881,BROADWAY,10032,2127950615,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.83731443,-73.94250596,112,7,24500,1063356,1021370032,MN36,A,2020-01-02T00:00:00.000
PADDY REILLY'S BAR,Manhattan,519,2 AVENUE,10016,2126861210,"Bottled beverages, including water, sodas, juices, etc.",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74154868,-73.97824305,106,2,6600,1019902,1009090034,MN20,,
NEW MANDARIN COURT,Manhattan,61,MOTT STREET,10013,2126083838,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,10,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.71596128,-73.99829734,103,1,2900,1002399,1002000029,MN27,A,2020-01-02T00:00:00.000
THE HOUSE OF BREWS,Manhattan,363,WEST   46 STREET,10036,2122450551,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,24,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76050285,-73.98960032,104,3,12700,1025043,1010370006,MN15,,
PASTARIFIC PIZZA AND RESTAURANT,Bronx,301,EAST  181 STREET,10457,7186187155,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,28,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.85404672,-73.8992109,205,15,37900,2013375,2031440045,BX41,,
JK & SONS COFFEE SHOP,Brooklyn,801,BROADWAY,11206,7187822366,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,29,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.6997131,-73.94013664,304,34,38900,3071691,3031320006,BK78,,
FAMOUS FAMIGLIA PIZZERIA,Manhattan,1398,MADISON AVENUE,10029,2129969797,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,43,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.78787565,-73.9536931,111,4,16002,1051455,1016020058,MN33,Z,2020-01-02T00:00:00.000
CHEF TORIBIO RESTAURANT,Brooklyn,446,WILSON AVENUE,11221,3475339551,Spanish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,27,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.69325897,-73.91267484,304,37,41500,3077267,3033760039,BK78,,
KUSINA PINOY BISTRO,Queens,6916,ROOSEVELT AVE,11377,3479249977,Filipino,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,28,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.7463427,-73.89608308,402,26,26300,4030354,4013010032,QN63,,
RED LOBSTER,Manhattan,261,WEST  125 STREET,10027,2122801930,Seafood,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,56,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80982675,-73.95033627,110,9,22200,1089941,1019310006,MN11,,
SONS OF THUNDER,Manhattan,225,PEARL STREET,10038,6463696234,Hawaiian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,5,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70725199,-74.00583949,101,1,1502,1001126,1000690032,MN25,A,2020-01-02T00:00:00.000
AINSWORTH MIDTOWN,Manhattan,45,EAST   33 STREET,10016,2122011228,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Y,29,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74688804,-73.98294383,105,2,7400,1080794,1008637501,MN17,,
LA GUALACENA BAR & RESTAURANT,Brooklyn,178,WYCKOFF AVENUE,11237,7184561002,Spanish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,5,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.70213514,-73.91577204,304,37,44300,3075165,3032900035,BK77,A,2020-01-02T00:00:00.000
SIDO GRILL,Manhattan,2288,FREDERICK DOUGLASS BOULEVARD,,6463295650,Mediterranean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,9,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,0,0,,,,,1,,A,2020-01-02T00:00:00.000
ALEGRIA BAR & RESTAURANT,Brooklyn,266,SUYDAM STREET,11237,7189152576,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.70228881,-73.92354403,304,34,42900,3073206,3032200008,BK77,B,2020-01-02T00:00:00.000
PADDY REILLY'S BAR,Manhattan,519,2 AVENUE,10016,2126861210,"Bottled beverages, including water, sodas, juices, etc.",2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74154868,-73.97824305,106,2,6600,1019902,1009090034,MN20,,
GREEN GARDEN VILLAGE,Manhattan,216,GRAND STREET,10013,6469129136,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,35,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71890087,-73.99605341,102,1,4100,1006934,1004700028,MN24,,
NEW NO.1 CHINESE RESTAURANT,Bronx,1839,WESTCHESTER AVENUE,10472,7189182880,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.83235254,-73.86470087,209,18,7600,2099986,2038780001,BX08,,
SABLE,Manhattan,1489,2 AVENUE,10075,2122496177,Delicatessen,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.77236587,-73.95576907,108,4,13400,1085190,1014320021,MN31,,
NEW NO.1 CHINESE RESTAURANT,Bronx,1839,WESTCHESTER AVENUE,10472,7189182880,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.83235254,-73.86470087,209,18,7600,2099986,2038780001,BX08,,
FULL KEE SEAFOOD RESTURANT,Queens,13614,38TH AVE,11354,7183580666,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,13,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.76094057,-73.83033342,407,20,87100,4112486,4049780110,QN22,A,2020-01-02T00:00:00.000
JEANNIE'S/HANI PACIFIC/OH MOCHI DONUTS,Manhattan,225,WEST   57 STREET,10019,2063734068,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,48,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.76606542,-73.98131799,105,4,13700,1000000,1010290014,MN17,,
CAFE MANHATTAN,Manhattan,35,WEST   45 STREET,10036,2129211515,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75594266,-73.98074693,105,4,9600,1034244,1012610019,MN17,A,2020-01-02T00:00:00.000
OUR NEIGHBOURHOOD SPANISH RESTAURANT,Brooklyn,444,MOTHER GASTON BOULEVARD,11212,7189279302,Spanish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,23,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.66819977,-73.90648961,316,41,90600,3252323,3035260325,BK81,B,2020-01-02T00:00:00.000
SHANG NOODLE HOUSE,Queens,3810,PRINCE ST,11354,7186665187,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,12,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.7600518,-73.83256289,407,20,87100,4439961,4049720052,QN22,A,2020-01-02T00:00:00.000
SWELL DIVE,Brooklyn,1013,BEDFORD AVENUE,11205,9176524779,Tex-Mex,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68927332,-73.95507799,303,36,24300,3322140,3017880009,BK75,,
MIKE'S BISTRO,Manhattan,127,EAST   54 STREET,10022,2127993911,Jewish/Kosher,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,9,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75923709,-73.97109369,105,4,10000,1036480,1013090008,MN19,A,2020-01-02T00:00:00.000
DADAM,Queens,15224,NORTHERN BLVD,11354,7183212007,Korean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,37,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76488941,-73.812147,407,20,115500,4119193,4052660009,QN51,,
NO 8 CHINESE RESTAURANT,Bronx,694,THWAITES PLACE,10467,7186520700,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.85857689,-73.86802743,211,15,33201,2049738,2043390012,BX07,,
DADAM,Queens,15224,NORTHERN BLVD,11354,7183212007,Korean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,37,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76488941,-73.812147,407,20,115500,4119193,4052660009,QN51,,
JK & SONS COFFEE SHOP,Brooklyn,801,BROADWAY,11206,7187822366,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,29,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.6997131,-73.94013664,304,34,38900,3071691,3031320006,BK78,,
NUEVO TULCINGO AZTECA,Bronx,134,EAST  170 STREET,10452,7185880803,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,27,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.83910602,-73.91481371,204,16,22102,2008085,2028420051,BX63,Z,2020-01-02T00:00:00.000
SOHO DINER,Manhattan,320,WEST BROADWAY,10013,2129653091,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,33,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.72190639,-74.00417766,102,1,4700,1087764,1002270028,MN24,,
JING WEI HOTPOT,Brooklyn,706,60 STREET,11220,7184928833,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,11,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.63655437,-74.0113423,307,38,11800,3403972,3057850009,BK34,,
CAMELLIA FAMILY,Queens,4215,COLLEGE POINT BLVD,11355,7188860123,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,31,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.75450534,-73.83304972,407,20,84900,4115048,4051010001,QN22,,
SHANG NOODLE HOUSE,Queens,3810,PRINCE ST,11354,7186665187,Chinese,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,12,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.7600518,-73.83256289,407,20,87100,4439961,4049720052,QN22,A,2020-01-02T00:00:00.000
SAMBAK SAMBABJIP,Queens,4111,150TH ST,11355,7184611212,Korean,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,21,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.76235044,-73.81379667,407,20,116700,4114917,4050580016,QN51,B,2020-01-02T00:00:00.000
SWELL DIVE,Brooklyn,1013,BEDFORD AVENUE,11205,9176524779,Tex-Mex,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68927332,-73.95507799,303,36,24300,3322140,3017880009,BK75,,
ITALIA PIZZA,Brooklyn,307,KINGS HIGHWAY,11223,7183390666,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.60504837,-73.97896835,311,44,42600,3176893,3066510078,BK29,A,2020-01-02T00:00:00.000
KUSINA PINOY BISTRO,Queens,6916,ROOSEVELT AVE,11377,3479249977,Filipino,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,28,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.7463427,-73.89608308,402,26,26300,4030354,4013010032,QN63,,
WENDY'S,Staten Island,1761,FOREST AVENUE,10303,7189812102,Hamburgers,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.62499759,-74.14761163,501,49,23900,5029212,5014770041,SI12,A,2020-01-02T00:00:00.000
EL CASTILLO DEL POLLO,Queens,12808,111TH AVE,11420,7188454071,Spanish,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,83,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.68277861,-73.81326616,410,28,17200,4250838,4116330004,QN55,,
BASIL BRICK OVEN,Queens,2817,ASTORIA BLVD,11102,7182041205,Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,34,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.77064492,-73.92022681,401,22,6900,4017403,4008390009,QN71,,
CICCIO,Manhattan,190,6 AVENUE,10013,6464769498,Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,33,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.72640782,-74.00365119,102,3,3700,1077761,1005040011,MN24,,
EIGHT JANE FOOD,Queens,3712,MAIN ST,11354,7185819077,Asian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",N,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.76135882,-73.83103987,407,20,87100,4112292,4049740038,QN22,A,2020-01-02T00:00:00.000
